category,sub_category,language,phrase_text,intent_description
greetings,welcome,am,"እንኳን ወደ 8800 የነፃ የንግድ ብድር አገልግሎት በደህና መጡ። እኔ ቬስፐር ነኝ፤ የብድር ማመልከቻዎን ለማዘጋጀት እረዳዎታለሁ።","Toll-free IVR opening greeting in Amharic"
greetings,welcome,om,"Baga gara tajaajila liqii bilisaa 8800 nagaan dhuftan. Ani Vesper dha; iyyannoo liqii keessan qopheessuuf isin gargaara.","Toll-free IVR opening greeting in Afaan Oromo"
greetings,welcome,en,"Welcome to the 8800 Toll-Free Business Funding Hotline. I am Vesper, your voice underwriting assistant.","Toll-free IVR opening greeting in English"
greetings,language_confirm,am,"በአማርኛ ንግግራችንን እንቀጥላለን። እባክዎ የንግድ ስራዎን ስም እና የስራዎን ዘርፍ ይንገሩን።","Language confirmation and initial question (Amharic)"
greetings,language_confirm,om,"Afaan Oromootiin itti fufna. Maaloo maqaa daldala keessaniifi gosa hojii keessanii nuu himaa.","Language confirmation and initial question (Oromo)"
greetings,language_confirm,en,"We will proceed in English. Please state your registered business name and industry sector.","Language confirmation and initial question (English)"
questions,business_name,am,"የድርጅትዎ ወይም የንግድ ሱቅዎ ትክክለኛ መጠሪያ ስም ማን ይባላል?","Asking for business trade name"
questions,business_name,om,"Maqaan daldala ykn suuqii keessanii maaldha?","Asking for business trade name in Oromo"
questions,business_name,en,"What is the official or trade name of your business?","Asking for business trade name in English"
questions,business_type,am,"የሚሰሩት የስራ ዘርፍ ምንድን ነው? ለምሳሌ ጨርቃጨርቅ፣ ብረት ስራ፣ ቡና ማቀነባበር ወይስ ንግድ?","Asking for sector/activity in Amharic"
questions,business_type,om,"Gosti hojii keessanii maali? Fakkeenyaaf qophii bunaa, huccuu hodhuu, hojii sibilaa moo daldala biroo?","Asking for sector/activity in Oromo"
questions,business_type,en,"What is your primary line of business or production sector?","Asking for sector/activity in English"
questions,business_start_date,am,"ይህን ስራ ከጀመሩ ምን ያህል ጊዜ ሆነዎት? የተጀመረበትን ዓመተ ምህረት ሊነግሩን ይችላሉ?","Asking for operational longevity in Amharic"
questions,business_start_date,om,"Hojii kana erga eegaltanii yeroo hammamii ta'e? Bara kam eegaltan?","Asking for operational longevity in Oromo"
questions,business_start_date,en,"When did you establish or start operating this business?","Asking for operational longevity in English"
questions,location_description,am,"የስራ ቦታዎ ወይም ዎርክሾፕዎ የት ከተማና ክፍለ ከተማ ወይም ቀበሌ ነው የሚገኘው?","Asking for geographical location in Amharic"
questions,location_description,om,"Bakki hojii ykn suuqiin keessan magaalaa kam, aanaa fi ganda kamitti argama?","Asking for geographical location in Oromo"
questions,location_description,en,"Where is your shop or production facility located? Please include city and sub-city or kebele.","Asking for geographical location in English"
questions,num_employees,am,"በአሁኑ ሰዓት ቋሚ እና ጊዜያዊ ስንት ሰራተኞች አሉዎት?","Asking employee count in Amharic"
questions,num_employees,om,"Yeroo ammaa hojjettoota dhaabbataa fi yeroo meeqa qabdu?","Asking employee count in Oromo"
questions,num_employees,en,"How many full-time and part-time workers do you employ?","Asking employee count in English"
questions,monthly_or_annual_sales,am,"በአማካይ በወር ወይም በዓመት ምን ያህል የብር ሽያጭ ገቢ ያገኛሉ?","Asking monthly/annual turnover in Amharic"
questions,monthly_or_annual_sales,om,"Giddugaleessaan ji'atti ykn waggaatti galii Birrii meeqaa argattu?","Asking monthly/annual turnover in Oromo"
questions,monthly_or_annual_sales,en,"What is your average monthly or annual revenue in Ethiopian Birr?","Asking monthly/annual turnover in English"
questions,machinery_equipment,am,"ለስራዎ የሚጠቀሙባቸው ዋና ዋና ማሽኖች፣ እቃዎች ወይም ተሸከርካሪዎች ምን ምን ናቸው?","Asking productive equipment in Amharic"
questions,machinery_equipment,om,"Meeshaalee, maashinoota ykn meeshaalee oomishaa akkamii qabdu?","Asking productive equipment in Oromo"
questions,machinery_equipment,en,"What machinery, tools, vehicles, or physical equipment do you own and operate?","Asking productive equipment in English"
questions,funding_amount_requested,am,"ለስራዎ ማስፋፊያ ምን ያህል የብድር ገንዘብ ይፈልጋሉ?","Asking requested loan amount in Amharic"
questions,funding_amount_requested,om,"Daldala keessan babal'isuuf maallaqa liqii Birrii meeqa barbaaddu?","Asking requested loan amount in Oromo"
questions,funding_amount_requested,en,"How much funding or credit facility are you requesting today?","Asking requested loan amount in English"
questions,funding_purpose,am,"የሚወስዱትን የብድር ገንዘብ ለምን አይነት ግዢ ወይም ማስፋፊያ ለማዋል ነው ያቀዱት?","Asking use of loan funds in Amharic"
questions,funding_purpose,om,"Maallaqa liqichaa maaliif oolchuuf karoorsitan? Meeshaa bituuf moo iddoo babal'isuuf?","Asking use of loan funds in Oromo"
questions,funding_purpose,en,"Specifically how will this capital be invested in your enterprise?","Asking use of loan funds in English"
questions,beneficiaries_impact,am,"ይህ ብድር ቢፈቀድልዎት ስንት አዲስ የስራ እድል ይፈጥራሉ? በማህበረሰቡ ላይስ ምን ጥቅም አለው?","Asking impact and job creation in Amharic"
questions,beneficiaries_impact,om,"Liqiin kun yoo eeyyamame carraa hojii haaraa meeqa uuma? Hawaasa naannoof bu'aa akkamii qaba?","Asking impact and job creation in Oromo"
questions,beneficiaries_impact,en,"How many additional jobs will be created, and what community impact will be achieved?","Asking impact and job creation in English"
clarification,repeat_amount,am,"ይቅርታ፣ የጠየቁትን የብድር መጠን በድጋሚ ግልጽ አድርገው ሊነግሩን ይችላሉ?","Clarifying ambiguous loan amount in Amharic"
